reviewerID,asin,reviewerName,helpful/0,helpful/1,reviewText,overall,summary,unixReviewTime,reviewTime
A2UWVZDUHXTBPI,0000031887,Diesel247,0,0,"my daughter loves it, we bought for her ballet classes and it's perfect i would recomend to anyone looking for one",5,very nice,1360886400,"02 15, 2013"
AMKWM9Q2EREKH,0000031887,dino,0,0,It is nice and full and the construction of the tutu is well done .  The other reviews of this item were right on - 5 stars.,5,Lavender Basic Ballet Tutu,1369094400,"05 21, 2013"
A2SHUHMONLRZAB,0000031887,Discerning Viewer,0,0,"Another example of &#34;you get what you pay for.&#34;  Just know that it does not stand out as pictured, there is no ballet tutu stiffness to it, but if you want a purple soft tulle skirt skirt with cheap elastic waist, it works. Same texture as chiffon.",1,"Not a tutu, a soft tullel skirt",1396569600,"04 4, 2014"
AFQQ45LMEK5BX,0000031887,D. Keene,0,0,"Our granddaughter immedicately put her tutu on when it came in the mail. She loved it! She even wore it over her clothes to chuch that following Sunday. It was great to see to see her so happy. However, after I bought it, I found out Walmart was selling them for only $5 and I wouldn't have had to pay shipping and Handling. The look on my granddaughter's face was well worth the extra money.",5,How Cute,1311379200,"07 23, 2011"
A21HG0C4WEF3F0,0000031887,Donna Jackson,0,0,I bought this for my granddaughter as part of her Halloween costume.  Now she never takes it off.  She loves it.,5,Great Item for the price,1352937600,"11 15, 2012"
A28E4JIUJA10DK,0000031887,doris,0,0,"This is perfect my niece love it.  It fit perfect she is 4years olds not to big just right.I love that it has a lining, i purchase one from another store but I had to get legging for her to wear under the tutu.I will purchase another one or two.",5,Girl Ballet TuTu Red,1402272000,"06 9, 2014"
A3W00ZUSJPRX9N,0000031887,"Dreamweavermon ""Dreamweavermom""",0,0,My toddler love this so much. It has held well. She wears this several times a week. We have three colors of this from the same seller.,5,Fun color for playing dress up,1360195200,"02 7, 2013"
A3OZGN4EQ41P3Z,0000031887,DS,0,0,Love the &#34;feel&#34;....the length is great on a 7 year old.....the waistline fits (that never happens because they always need to have tucks taken)...the look is fabulous and the price is even better!!!,5,Perfect....,1381017600,"10 6, 2013"
A3E5XFP01OKX0I,0000031887,elaine parana,0,0,They fell apart the first day that they wore them...I literally had to throw them away....disapointed....still waiting for replacements.....poorly made....,1,not happy......,1400889600,"05 24, 2014"
A1QXUU7K9SZKNU,0000031887,Elizabeth Fonzino,0,0,"Our granddaughter is so into dress-up and this, with the Lady bug wing set, was a great alternative to princesses!",5,"Not ""princess"" dress-up",1361404800,"02 21, 2013"
A3SBYCJ5VZQ63O,0000031887,EMF,7,8,Got this for my 2 year old daughter and I expected it to be very thin and flimsy considering the price. I was totally wrong. The skirt is very full and has many layers. Very happy with the purchase and she looks adorable in it!,4,Great for the price,1298332800,"02 22, 2011"
A28H9Q6NYL4W4D,0000031887,Erin White,0,0,"This tutu fell apart literally minutes after my niece put it on. I wasn't impressed with the quality, though I suppose for the price I shouldn't have been surprised.",1,Feel apart moments after my niece put it on,1385078400,"11 22, 2013"
A2DCWJN4ZXC0VR,0000031887,Faith,0,0,Great price! This cute little tutu has held up through multiple wearings by a three-year old. We even bought two more!,5,Wonderful deal!,1390608000,"01 25, 2014"
A1V0QH4MR2Q5U5,0000031887,farmergirl761,5,6,My granddaughter loved it. She is only 4 years old and loves being a little ballerina. She is my little ballerina!,4,Granddaughter loved it!,1358294400,"01 16, 2013"
A1SAFJHKTHT5PY,0000031887,"FL Mom ""Kaar""",0,0,I bought this for my daughters cinderella party. I am pleasantly surprised with the fullness and the price cannot be beat!,5,Great!,1399334400,"05 6, 2014"
A3RHTZCFS4A95W,0000031887,folam,0,0,"This skirt is SUPER cute.  My only problem w it was it had a strong odor upon arrival. I have to assume its in the dye but unfortunately it smells just like urine.  Once I sprayed it with Febreeze and let it air out, the smell is not so strong.  Other than that it is good quality and well worth the money.",4,Foul odor,1399334400,"05 6, 2014"
A35R2GQMARPJXL,0000031887,Gladys Brewer,0,0,they were great and loved the red satin around the waist.  I would have had to make them for the recital and didn't really have time.  The cost was reasonable as well.,5,ballet recital emergency averted!,1355529600,"12 15, 2012"
A1UF7LU4WSL5JO,0000031887,Grammy Susan,0,0,"The tutu looks just like the picture, no surprises. The nylon net is good quality and the elastic waist fit my tiny waisted grand daughter.",5,prefect little tutu,1361404800,"02 21, 2013"
A391HU19SKEQNU,0000031887,"Grandma C ""GmaC""",0,0,I wanted well-made dress-up items for my granddaughter and this is great!  I chose pink but there are many colors available.,5,Fun dress-up,1381708800,"10 14, 2013"
A2NAJECPOEB0Q5,0000031887,Gregory Barter,0,0,Said they would fit a certain size but when we got them they are a lot smaller then as described.,1,Beware of size,1388361600,"12 30, 2013"
AEXHAUK8HZPV2,0000031887,Grrreatstuff,1,1,"My daughter's first request out of bed in the morning is ""I want tutu!!"" So I knew I needed to find some durable options fast. This is one of three I purchased. The quality is ... What you should expect from tulle. It frays easily on the bottom. For occasional dress up this is perfect. For an everyday tutu uniform, it's going to fall short. I think I'll try to add this as a subscribe and save item.",4,Perfect princess in purple,1361145600,"02 18, 2013"
A36CRQ69MNVZYQ,0000031887,Hannah Hiett,0,0,Twice we've had to repair it. It rips along the ribbon-the tulle pulls away. My mom reinforced it but it still ripped.,3,Rips,1388966400,"01 6, 2014"
A3KA7Y9BUFBLZG,0000031887,hariet,0,0,"A beautiful yellow, not too bright. It has three layers which makes for a nicely shaped tutu. Good for up to 10 years old.",5,great tutu,1401926400,"06 5, 2014"
A2O1P7TBMZOKWY,0000031887,Harriet Nelson-Jonwa,0,0,My granddaughter was thrilled when her ballet teacher said she could wear any color tutu she wanted.  All of her classmates have pink.  My granddaughter dances to her own beat.  She is almost 6 years old and to have a green tutu that is the perfect green is wonderful.,5,Green is my granddaughters favorite color.,1397779200,"04 18, 2014"
A3BEIPWKH3HO35,0000031887,Heidi Bartle,0,0,My two-year-old wears it everywhere.  Perfect choice for a little girly girl!  Now she can dress up like her big sister.,5,Super fun!,1379030400,"09 13, 2013"
AVJ2W6ICJZNO7,0000031887,i love my 8 children,0,0,my little 3 year old and 1 year old love dressing up in these!!!  very well made and very poofy!!!,5,So Cute !,1358035200,"01 13, 2013"
A1O1PO154JNB2G,0000031887,iluvamazon,2,3,"Both tutus were mailed in a flat plastic bag in a manila envelope.  Needless to say, they arrived perfectly flat, not at all like the fluffy tutu shown in the photo.  I had to purchase 6 yards of red netting, cut into strips, gather it, and sew it onto the flattened netting of both tutus.  I have purchased tutu's from other sources that shipped them in 12x12 boxes so that when they arrived, they were, indeed, the fluffy tutu I had ordered.",1,Mailed in a flat envelope????,1386288000,"12 6, 2013"
A2P6MS3OD0YWFP,0000031887,Ismenia Rivera,0,0,put it in the washer bc like a normal kid my daughter got it dirty. When i took it out it was all ripped up at the ends. she was so uppset when i got rid of it for the price i paid I thought it would be a little better.,1,dont wash in machine,1378166400,"09 3, 2013"
A186E2SU6URFZI,0000031887,Jae,0,0,Very cute however poorly made. This tutu didnt last a full day before it was coming apart at the seams.  Which is really too bad because my 6 yr old was really excited about wearing it again.,1,Wouldnt buy again,1402531200,"06 12, 2014"
A2Y0ZD9CYGAS1S,0000031887,Jamie,1,1,"This is an average tutu.  It fits my 3 year old fine and is cute, but it is sort of stiff and smells very chemically.  I have yet to wash it, so maybe after I do it will soften and lose the smell.  *Followup- I have washed it and it is better, not so smelly and stiff.  I changed my rating to 4 stars.",4,It's a tutu,1369958400,"05 31, 2013"
A2M2APVYIB2U6K,0000031887,Jamie P.,0,0,"Great tutu for a great price. It isn't a &#34;full&#34; or high quality skirt, but it is perfect for my daughter to wear over leggings for her little outfits.",5,Great value,1356220800,"12 23, 2012"
A3UXU27UJPI4IN,0000031887,J and J,0,0,The tutu was exactly as pictured in the photo and arrived a few days earlier then I expected it to arrive.,5,As expected,1364947200,"04 3, 2013"
A3R59KR8Q7DMM0,0000031887,Jani,0,0,"My granddaughter wanted this as a surprise for her mother for Christmas..  She actually wanted it to dress up a large bear she had.  It was well made and for the price, you could not beat it.",5,Fairy Tutu,1356480000,"12 26, 2012"
A1NJ71X3YPQNQ9,0000031887,JBerger,0,0,"My daughter liked this, and it with her costume, but she would have liked it to be a bit fuller.",4,Good,1384041600,"11 10, 2013"
A3EERSWHAI6SO,0000031887,"Jeffrey Hollingshead ""Jillian hollingshead""",7,8,For what I paid for two tutus is unbeatable anywhere!  I ordered a pink and turquios and they are vibrant and beautiful! The tutu is very full! Princess style! Not cheaply made! Not cheap materia! Obviously someone made these with love and care! I paid less than 7 bucks for a tutu I and I feel proud of my self for researching to the point of finding gold!Recommend 2-6 years!My daughter is two ! Wears size 4t and this skirt ( one size ) fit perfect and will probaly be able to accommodate her quickly growing waist for some time!,5,WOW !! ..is all I have to say!,1349568000,"10 7, 2012"
A3ALV0F2SH1AXF,0000031887,Jennifer L Mahan,0,0,Bought this tutu for a tutu and heels bachelorette party. It says its for kids but worked out great.I weigh 135lb and 5'8&#34;. I wore legging underneath or would have been exposed.Great thing is my 2 year old daughter can use it and loves it!]Material is not bad but don't expect it to last long. Worth it for the price.,4,Cute,1370563200,"06 7, 2013"
A1E46DETBW0JSE,0000031887,Jennifer Lupton,0,0,Got this for my niece and she loved it!  There is a silk lining so that it doesn't scratch the legs which is a big plus! Shipped fast too.,4,Loved it!,1357084800,"01 2, 2013"
AN2R2NG38CIDF,0000031887,"Jennifer Rhodes ""tourguide barbie""",0,0,"I used this to complete my ballerina Thor costume and it worked PERFECTLY! I still have it and it's in great condition. A little staticky but that's to be expected. I bought shorts to go underneath, so it was great.",5,So much fun!,1395100800,"03 18, 2014"
A27IDO1NWJ272M,0000031887,jennifer s.,0,0,I got this for my sister she is in love with I'm very happy with the shape color everything !! Really great product I love it !!!! Fantastic !,4,Wow very nice,1369267200,"05 23, 2013"
A18AC22XNV0XBM,0000031887,Jenny,0,0,"The shipping is crazy on these if you're buying more than one of these, but the tutus are really well made. I glued snowflakes to them as party favors for a Frozen birthday party and the girls loved them!",4,Pricy Shipping if buying Multiples,1400544000,"05 20, 2014"
A1TBWRXV7KVHPC,0000031887,JenV,0,0,"Pretty good quality tutu for a great price.  My daughter loves this for her tot ballet class.  It even seems to hold up ok to washing machine as long as I wash on delicate, which many of her other tutus have not turned out as well.",5,Great buy for the money,1374278400,"07 20, 2013"
